icc_match_id,match_date,match_time,home_team,away_team,match_name,tournament_name,match_type,innings_count,hawkeye_link
48,2012-05-05,16:00,Kolkata Knight Riders,Pune Warriors India,ipl2012-47,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/48/uds/traj
50,2012-05-06,16:00,Mumbai Indians,Chennai Super Kings,ipl2012-49,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/50/uds/traj
51,2012-05-06,20:00,Royal Challengers Bangalore,Deccan Chargers,ipl2012-50,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/51/uds/traj
52,2012-05-07,20:00,Delhi Daredevils,Kolkata Knight Riders,ipl2012-51,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/52/uds/traj
53,2012-05-08,16:00,Pune Warriors India,Rajasthan Royals,ipl2012-52,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/53/uds/traj
54,2012-05-08,20:00,Deccan Chargers,Kings XI Punjab,ipl2012-53,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/54/uds/traj
55,2012-05-09,20:00,Mumbai Indians,Royal Challengers Bangalore,ipl2012-54,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/55/uds/traj
56,2012-05-10,16:00,Deccan Chargers,Delhi Daredevils,ipl2012-55,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/56/uds/traj
57,2012-05-10,20:00,Rajasthan Royals,Chennai Super Kings,ipl2012-56,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/57/uds/traj
58,2012-05-11,20:00,Pune Warriors India,Royal Challengers Bangalore,ipl2012-57,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/58/uds/traj
60,2012-05-12,20:00,Chennai Super Kings,Delhi Daredevils,ipl2012-59,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/60/uds/traj
59,2012-05-12,16:00,Kolkata Knight Riders,Mumbai Indians,ipl2012-58,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/59/uds/traj
61,2012-05-13,16:00,Rajasthan Royals,Pune Warriors India,ipl2012-60,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/61/uds/traj
62,2012-05-13,20:00,Kings XI Punjab,Deccan Chargers,ipl2012-61,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/62/uds/traj
63,2012-05-14,16:00,Royal Challengers Bangalore,Mumbai Indians,ipl2012-62,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/63/uds/traj
64,2012-05-14,20:00,Kolkata Knight Riders,Chennai Super Kings,ipl2012-63,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/64/uds/traj
65,2012-05-15,20:00,Delhi Daredevils,Kings XI Punjab,ipl2012-64,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/65/uds/traj
66,2012-05-16,20:00,Mumbai Indians,Kolkata Knight Riders,ipl2012-65,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/66/uds/traj
67,2012-05-17,16:00,Kings XI Punjab,Chennai Super Kings,ipl2012-66,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/67/uds/traj
68,2012-05-17,20:00,Delhi Daredevils,Royal Challengers Bangalore,ipl2012-67,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/68/uds/traj
69,2012-05-18,20:00,Deccan Chargers,Rajasthan Royals,ipl2012-68,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/69/uds/traj
70,2012-05-19,16:00,Kings XI Punjab,Delhi Daredevils,ipl2012-69,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/70/uds/traj
71,2012-05-19,20:00,Pune Warriors India,Kolkata Knight Riders,ipl2012-70,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/71/uds/traj
72,2012-05-20,16:00,Deccan Chargers,Royal Challengers Bangalore,ipl2012-71,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/72/uds/traj
73,2012-05-20,20:00,Rajasthan Royals,Mumbai Indians,ipl2012-72,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/73/uds/traj
74,2012-05-22,20:00,Delhi Daredevils,Kolkata Knight Riders,ipl2012-73,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/74/uds/traj
75,2012-05-23,20:00,Mumbai Indians,Chennai Super Kings,ipl2012-74,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/75/uds/traj
76,2012-05-25,20:00,Chennai Super Kings,Delhi Daredevils,ipl2012-75,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/76/uds/traj
77,2012-05-27,20:00,Kolkata Knight Riders,Chennai Super Kings,ipl2012-76,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/77/uds/traj
606,2013-04-03,20:00,Kolkata Knight Riders,Delhi Daredevils,ipl2013-01,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/606/uds/traj
616,2013-04-04,20:00,Royal Challengers Bangalore,Mumbai Indians,ipl2013-02,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/616/uds/traj
617,2013-04-05,20:00,Sunrisers Hyderabad,Pune Warriors India,ipl2013-03,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/617/uds/traj
618,2013-04-06,16:00,Delhi Daredevils,Rajasthan Royals,ipl2013-04,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/618/uds/traj
619,2013-04-06,20:00,Chennai Super Kings,Mumbai Indians,ipl2013-05,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/619/uds/traj
620,2013-04-07,16:00,Pune Warriors India,Kings XI Punjab,ipl2013-06,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/620/uds/traj
621,2013-04-07,20:00,Sunrisers Hyderabad,Royal Challengers Bangalore,ipl2013-07,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/621/uds/traj
622,2013-04-08,20:00,Rajasthan Royals,Kolkata Knight Riders,ipl2013-08,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/622/uds/traj
623,2013-04-09,16:00,Royal Challengers Bangalore,Sunrisers Hyderabad,ipl2013-09,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/623/uds/traj
624,2013-04-09,20:00,Mumbai Indians,Delhi Daredevils,ipl2013-10,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/624/uds/traj
625,2013-04-10,20:00,Kings XI Punjab,Chennai Super Kings,ipl2013-11,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/625/uds/traj
626,2013-04-11,16:00,Royal Challengers Bangalore,Kolkata Knight Riders,ipl2013-12,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/626/uds/traj
627,2013-04-11,20:00,Pune Warriors India,Rajasthan Royals,ipl2013-13,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/627/uds/traj
